year,month,day,US MIR % (6mo),EU MIR %
2019,03,06,2.53,0
2019,03,07,2.52,0
2019,03,08,2.52,0
2019,03,11,2.54,0
2019,03,12,2.53,0
2019,03,13,2.53,0
2019,03,14,2.52,0
2019,03,15,2.52,0
2019,03,18,2.51,0
2019,03,19,2.52,0
2019,03,20,2.49,0
2019,03,21,2.50,0
2019,03,22,2.48,0
2019,03,25,2.49,0
2019,03,26,2.49,0
2019,03,27,2.46,0
2019,03,28,2.44,0
2019,03,29,2.44,0
2019,04,01,2.46,0
2019,04,02,2.45,0
2019,04,03,2.45,0
2019,04,04,2.46,0
2019,04,05,2.46,0
2019,04,08,2.48,0
2019,04,09,2.46,0
2019,04,10,2.46,0
2019,04,11,2.46,0
2019,04,12,2.47,0
2019,04,15,2.46,0
2019,04,16,2.47,0
2019,04,17,2.47,0
2019,04,18,2.47,0
2019,04,19,ND,0
2019,04,22,2.47,0
2019,04,23,2.46,0
2019,04,24,2.46,0
2019,04,25,2.46,0
2019,04,26,2.46,0
2019,04,29,2.47,0
2019,04,30,2.46,0
2019,05,01,2.44,0
2019,05,02,2.46,0
2019,05,03,2.46,0
2019,05,06,2.46,0
2019,05,07,2.46,0
2019,05,08,2.45,0
2019,05,09,2.46,0
2019,05,10,2.45,0
2019,05,13,2.42,0
2019,05,14,2.43,0
2019,05,15,2.43,0
2019,05,16,2.43,0
2019,05,17,2.42,0
2019,05,20,2.42,0
2019,05,21,2.42,0
2019,05,22,2.41,0
2019,05,23,2.40,0
2019,05,24,2.39,0
2019,05,27,ND,0
2019,05,28,2.38,0
2019,05,29,2.38,0
2019,05,30,2.40,0
2019,05,31,2.35,0
2019,06,03,2.31,0
2019,06,04,2.29,0
2019,06,05,2.25,0
2019,06,06,2.22,0
2019,06,07,2.15,0
2019,06,10,2.21,0
2019,06,11,2.21,0
2019,06,12,2.20,0
2019,06,13,2.18,0
2019,06,14,2.18,0
2019,06,17,2.20,0
2019,06,18,2.20,0
2019,06,19,2.11,0
2019,06,20,2.04,0
2019,06,21,2.05,0
2019,06,24,2.10,0
2019,06,25,2.10,0
2019,06,26,2.12,0
2019,06,27,2.12,0
2019,06,28,2.09,0
2019,07,01,2.10,0
2019,07,02,2.09,0
2019,07,03,2.08,0
2019,07,04,ND,0
2019,07,05,2.14,0
2019,07,08,2.14,0
2019,07,09,2.15,0
2019,07,10,2.07,0
2019,07,11,2.08,0
2019,07,12,2.07,0
2019,07,15,2.06,0
2019,07,16,2.06,0
2019,07,17,2.04,0
2019,07,18,2.01,0
2019,07,19,2.03,0
2019,07,22,2.08,0
2019,07,23,2.09,0
2019,07,24,2.08,0
2019,07,25,2.08,0
2019,07,26,2.10,0
2019,07,29,2.10,0
2019,07,30,2.07,0
2019,07,31,2.10,0
2019,08,01,2.04,0
2019,08,02,2.02,0
2019,08,05,1.99,0
2019,08,06,2.00,0
2019,08,07,1.95,0
2019,08,08,1.96,0
2019,08,09,1.95,0
2019,08,12,1.94,0
2019,08,13,1.96,0
2019,08,14,1.92,0
2019,08,15,1.86,0
2019,08,16,1.85,0
2019,08,19,1.90,0
2019,08,20,1.89,0
2019,08,21,1.90,0
2019,08,22,1.91,0
2019,08,23,1.87,0
2019,08,26,1.90,0
2019,08,27,1.94,0
2019,08,28,1.89,0
2019,08,29,1.89,0
2019,08,30,1.89,0
2019,09,02,ND,0
2019,09,03,1.88,0
2019,09,04,1.87,0
2019,09,05,1.88,0
2019,09,06,1.88,0
2019,09,09,1.87,0
2019,09,10,1.89,0
2019,09,11,1.88,0
2019,09,12,1.90,0
2019,09,13,1.92,0
2019,09,16,1.93,0
2019,09,17,1.93,0
2019,09,18,1.91,0
2019,09,19,1.92,0
2019,09,20,1.91,0
2019,09,23,1.93,0
2019,09,24,1.91,0
2019,09,25,1.90,0
2019,09,26,1.88,0
2019,09,27,1.85,0
2019,09,30,1.83,0
2019,10,01,1.81,0
2019,10,02,1.75,0
2019,10,03,1.66,0
2019,10,04,1.65,0
2019,10,07,1.73,0
2019,10,08,1.69,0
2019,10,09,1.69,0
2019,10,10,1.68,0
2019,10,11,1.68,0
2019,10,14,ND,0
2019,10,15,1.67,0
2019,10,16,1.64,0
2019,10,17,1.63,0
